"Well","Day","Read","Hour","RFU","R_Concentration","Treatment","unique_well"
"microplate label","Day into experiemnt","Time read at","Hour into Experiment","Relative fluorescence units","Phosphate : 0.5,1,2,4,6,8,10,20,35,50, 0","Algae or Blank","microplate label_Hour into Experiment_Phosphate : 0.5,1,2,4,6,8,10,20,35,50, 0"
"A1","1.0","0.0625","0.0","1562.0","0.0","Blank","A1_0.0_0.0"
"A2","1.0","0.0625","0.0","2424.0","0.0","Blank","A2_0.0_0.0"
"A3","1.0","0.0625","0.0","2817.0","0.0","Blank","A3_0.0_0.0"
"A4","1.0","0.0625","0.0","2832.0","0.0","Blank","A4_0.0_0.0"
"A5","1.0","0.0625","0.0","2707.0","0.0","Blank","A5_0.0_0.0"
"A6","1.0","0.0625","0.0","2733.0","0.0","Blank","A6_0.0_0.0"
"A7","1.0","0.0625","0.0","3414.0","0.0","Blank","A7_0.0_0.0"
"A8","1.0","0.0625","0.0","3031.0","0.0","Blank","A8_0.0_0.0"
"A9","1.0","0.0625","0.0","2689.0","0.0","Blank","A9_0.0_0.0"
"A10","1.0","0.0625","0.0","2353.0","0.0","Blank","A10_0.0_0.0"
"A11","1.0","0.0625","0.0","2668.0","0.0","Blank","A11_0.0_0.0"
"A12","1.0","0.0625","0.0","3880.0","0.0","Blank","A12_0.0_0.0"
"B1","1.0","0.0625","0.0","1943.0","0.0","Blank","B1_0.0_0.0"
"B2","1.0","0.0625","0.0","2591.0","0.5","Scenedesmus","B2_0.0_0.5"
"B3","1.0","0.0625","0.0","3516.0","1.0","Scenedesmus","B3_0.0_1.0"
"B4","1.0","0.0625","0.0","4832.0","2.0","Scenedesmus","B4_0.0_2.0"
"B5","1.0","0.0625","0.0","4434.0","4.0","Scenedesmus","B5_0.0_4.0"
"B6","1.0","0.0625","0.0","3993.0","6.0","Scenedesmus","B6_0.0_6.0"
"B7","1.0","0.0625","0.0","3690.0","8.0","Scenedesmus","B7_0.0_8.0"
"B8","1.0","0.0625","0.0","4587.0","10.0","Scenedesmus","B8_0.0_10.0"
"B9","1.0","0.0625","0.0","4116.0","20.0","Scenedesmus","B9_0.0_20.0"
"B10","1.0","0.0625","0.0","4461.0","35.0","Scenedesmus","B10_0.0_35.0"
"B11","1.0","0.0625","0.0","4745.0","50.0","Scenedesmus","B11_0.0_50.0"
"B12","1.0","0.0625","0.0","3616.0","0.0","Blank","B12_0.0_0.0"
"C1","1.0","0.0625","0.0","1791.0","0.0","Blank","C1_0.0_0.0"
"C2","1.0","0.0625","0.0","2958.0","0.5","Scenedesmus","C2_0.0_0.5"
"C3","1.0","0.0625","0.0","3195.0","1.0","Scenedesmus","C3_0.0_1.0"
"C4","1.0","0.0625","0.0","4363.0","2.0","Scenedesmus","C4_0.0_2.0"
"C5","1.0","0.0625","0.0","3656.0","4.0","Scenedesmus","C5_0.0_4.0"
"C6","1.0","0.0625","0.0","4010.0","6.0","Scenedesmus","C6_0.0_6.0"
"C7","1.0","0.0625","0.0","2865.0","8.0","Scenedesmus","C7_0.0_8.0"
"C8","1.0","0.0625","0.0","3735.0","10.0","Scenedesmus","C8_0.0_10.0"
"C9","1.0","0.0625","0.0","3880.0","20.0","Scenedesmus","C9_0.0_20.0"
"C10","1.0","0.0625","0.0","3214.0","35.0","Scenedesmus","C10_0.0_35.0"
"C11","1.0","0.0625","0.0","4816.0","50.0","Scenedesmus","C11_0.0_50.0"
"C12","1.0","0.0625","0.0","3286.0","0.0","Blank","C12_0.0_0.0"
"D1","1.0","0.0625","0.0","2066.0","0.0","Blank","D1_0.0_0.0"
"D2","1.0","0.0625","0.0","2886.0","0.5","Scenedesmus","D2_0.0_0.5"
"D3","1.0","0.0625","0.0","3298.0","1.0","Scenedesmus","D3_0.0_1.0"
"D4","1.0","0.0625","0.0","4101.0","2.0","Scenedesmus","D4_0.0_2.0"
"D5","1.0","0.0625","0.0","2843.0","4.0","Scenedesmus","D5_0.0_4.0"
"D6","1.0","0.0625","0.0","4507.0","6.0","Scenedesmus","D6_0.0_6.0"
"D7","1.0","0.0625","0.0","3266.0","8.0","Scenedesmus","D7_0.0_8.0"
"D8","1.0","0.0625","0.0","2624.0","10.0","Scenedesmus","D8_0.0_10.0"
"D9","1.0","0.0625","0.0","2553.0","20.0","Scenedesmus","D9_0.0_20.0"
"D10","1.0","0.0625","0.0","3763.0","35.0","Scenedesmus","D10_0.0_35.0"
"D11","1.0","0.0625","0.0","3311.0","50.0","Scenedesmus","D11_0.0_50.0"
"D12","1.0","0.0625","0.0","4112.0","0.0","Blank","D12_0.0_0.0"
"E1","1.0","0.0625","0.0","1892.0","0.0","Blank","E1_0.0_0.0"
"E2","1.0","0.0625","0.0","2141.0","0.5","Scenedesmus","E2_0.0_0.5"
"E3","1.0","0.0625","0.0","2841.0","1.0","Scenedesmus","E3_0.0_1.0"
"E4","1.0","0.0625","0.0","4140.0","2.0","Scenedesmus","E4_0.0_2.0"
"E5","1.0","0.0625","0.0","2974.0","4.0","Scenedesmus","E5_0.0_4.0"
"E6","1.0","0.0625","0.0","4151.0","6.0","Scenedesmus","E6_0.0_6.0"
"E7","1.0","0.0625","0.0","4064.0","8.0","Scenedesmus","E7_0.0_8.0"
